order_status,order_products_value,order_freight_value,order_items_qty,order_sellers_qty,order_purchase_timestamp,order_aproved_at,order_estimated_delivery_date,order_delivered_customer_date,customer_state,product_name_lenght,product_description_lenght,product_photos_qty,product_category_name_english
delivered,139.99,17.37,1,1,2/6/2018 17:00,2/6/2018,23/2/2018,14/2/2018,SP,49,349,4,furniture_decor
delivered,249.9,125.14,1,1,29/6/2018 18:27,29/6/2018,20/7/2018,7/9/2018,SP,42,87,3,furniture_decor
delivered,49.9,51.16,1,1,14/9/2018 18:23,14/9/2018,24/10/2018,29/9/2018,MA,57,486,2,watches_gifts
delivered,89.99,8.82,1,1,26/9/2017 15:15,26/9/2017,10/11/2017,29/9/2017,SP,58,361,4,sports_leisure
delivered,49.0,19.25,1,1,13/8/2018 15:54,13/8/2018,31/8/2018,27/8/2018,PE,59,93,7,fashion_bags_accessories
delivered,119.9,25.68,1,1,10/10/2017 11:34,10/10/2017,11/9/2017,17/10/2017,SP,57,652,1,sports_leisure
delivered,59.9,18.66,1,1,8/8/2017 17:04,8/8/2017,9/8/2017,28/8/2017,BA,25,396,2,fashion_underwear_beach
delivered,159.0,12.61,1,1,21/8/2017 18:18,21/8/2017,9/11/2017,31/8/2017,SP,68,318,1,bed_bath_table
delivered,319.0,10.98,1,1,12/4/2017 20:56,12/5/2017,20/12/2017,12/7/2017,SP,59,1914,5,consoles_games
delivered,86.99,29.01,1,1,6/8/2017 11:45,6/8/2017,13/7/2017,19/6/2017,PE,55,889,1,toys
delivered,700.9,74.66,1,4,24/11/2017 11:23,26/11/2017,26/12/2017,12/11/2017,MT,60,2136,1,computers_accessories
delivered,19.9,12.48,1,1,15/1/2018 18:07,15/1/2018,2/5/2018,26/1/2018,PR,48,287,1,electronics
delivered,50.0,8.72,1,1,25/4/2017 16:43,26/4/2017,5/12/2017,18/5/2017,SP,45,135,3,fashion_bags_accessories
delivered,410.0,26.92,1,1,26/3/2018 8:46,27/3/2018,19/4/2018,4/3/2018,SP,39,383,1,agro_industry_and_commerce
delivered,65.0,7.4,1,2,5/5/2018 10:30,5/5/2018,24/5/2018,14/5/2018,SP,57,276,4,watches_gifts
delivered,17.5,14.11,1,1,22/2/2017 9:45,22/2/2017,23/3/2017,3/2/2017,MG,58,552,1,computers_accessories
delivered,39.9,16.05,1,1,13/3/2017 20:17,13/3/2017,4/5/2017,19/9/2017,SP,40,966,3,furniture_decor
delivered,69.9,19.68,1,1,16/6/2018 21:08,16/6/2018,7/12/2018,27/6/2018,MG,57,427,1,bed_bath_table
